N#,카테고리#,내용#,링크
0#,[오늘의 날짜]#,2021년 05월 27일 (Thu)
1#,[뉴스 정치]#,1. 국민의힘 오늘 오후 컷오프 발표…결과에 촉각#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=119&aid=0002496346
2#,[뉴스 정치]#,"2. [단독] 오늘 ‘부동산’ 의총, 민주당 서울 의원에 ‘종부세’ 물었다#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=028&aid=0002546055
3#,[뉴스 정치]#,3. 김용민-조수진 설전에 김오수 청문회 마비…채택 기한 넘겨(종합)#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=008&aid=0004592962
4#,[뉴스 정치]#,"4. “늙은 정치는 가라” 2030의 역습… ‘이준석 태풍’, 정가 휩쓴다#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=005&aid=0001442433
5#,[뉴스 정치]#,5. 문 대통령 “한·미동맹 발전” 김기현 “백신 스와프 실패”#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=100&oid=025&aid=0003104720
6#,[뉴스 경제]#,1. 파운드리 투자 밝힌 삼성전자·SK하이닉스…주가는 언제 반등?#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=018&aid=0004939672
7#,[뉴스 경제]#,2. [단독] 은행 “코인 환치기 中 송금 제한”… 사설환전소 ‘문전성시’#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=005&aid=0001442432
8#,[뉴스 경제]#,3. 위안화 가치 3년 만에 최고…진퇴양난에 빠진 중국#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003104761
9#,[뉴스 경제]#,4. 비트코인 65% 캐는 중국 “채굴 걸리면 신용불량 낙인”#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003104764
10#,[뉴스 경제]#,"5. 해외 원전사업 걸림돌 치웠다, 모처럼 웃는 두산중#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=101&oid=025&aid=0003104765
11#,[뉴스 IT/과학]#,"1. 아마존, 영화사 MGM 9조4천억원에 인수#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=092&aid=0002223151
12#,[뉴스 IT/과학]#,"2. ""지속가능 ESG 정착 하려면 K-ESG 규칙 만들어야""#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=011&aid=0003915223
13#,[뉴스 IT/과학]#,"3. 구름이 가린 '붉은 달'···누리꾼들 ""아쉬워···다음 번 기약""#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=018&aid=0004939645
14#,[뉴스 IT/과학]#,4. 3년 만에 개기월식 …'붉은 슈퍼문' 뜬다#,https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=422&aid=0000486946
15#,[뉴스 IT/과학]#,"5. “채굴하면 사회적 사형”… 중국, 코인의 급소 때렸다#",https://news.naver.com/main/read.nhn?mode=LSD&mid=shm&sid1=105&oid=023&aid=0003616374
16#,[뉴스 CNBC]#,1. Amazon to buy MGM Studios for $8.45 billion#,https://www.cnbc.com/2021/05/26/amazon-to-buy-mgm-studios-for-8point45-billion.html
17#,[뉴스 CNBC]#,"2. Meme stocks GameStop, AMC are popping again as speculative trading ramps back up#",https://www.cnbc.com/2021/05/26/meme-stocks-gamestop-amc-are-popping-again-as-speculative-trading-ramps-back-up.html
18#,[뉴스 CNBC]#,3. Bitcoin crash opens door to a tax loophole for investors#,https://www.cnbc.com/2021/05/25/bitcoin-crash-opens-door-to-a-tax-loophole-for-investors.html
19#,[뉴스 CNBC]#,4. Millionaire and CEO shares 5 'quick tests' he always uses at job interviews to decide when to hire#,https://www.cnbc.com/2021/05/25/millionaire-ceo-shares-quick-tests-he-always-uses-during-job-interviews-to-decide-when-to-hire.html
20#,[뉴스 CNBC]#,"5. Wage rises and labor shortage are a ‘democratization’ of U.S. workforce, fund manager says#",https://www.cnbc.com/2021/05/26/smead-labor-shortage-wage-rises-a-democratization-of-us-workforce.html
20#,[경제 환율]#,"1,117.00@6.00(-0.53%) 하락"
21#,[경제 나스닥]#,"13,740.52@83.35(+0.61%) 상승"
22#,[경제 SP]#,"4,199.03@10.90(+0.26%) 상승"
